actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.630733,-0.149274,0.240010,1.755114,2.601213,0.008875
0.630720,-0.149291,0.239988,1.755156,2.601207,0.008813
0.630739,-0.149277,0.239999,1.755107,2.601170,0.008848
0.630743,-0.149278,0.240030,1.754994,2.601171,0.008910
0.630749,-0.149283,0.240042,1.755048,2.601115,0.008971
0.630747,-0.149286,0.240057,1.755056,2.601062,0.008944
0.630752,-0.149292,0.240074,1.755003,2.601051,0.009026
0.630739,-0.149297,0.240085,1.755011,2.601061,0.009058
0.630746,-0.149301,0.240113,1.754994,2.600969,0.009055
0.630757,-0.149304,0.240137,1.754959,2.600916,0.009073
0.630746,-0.149297,0.240147,1.755012,2.600896,0.009038
0.630745,-0.149328,0.240163,1.754984,2.600854,0.009088
0.630740,-0.149280,0.240106,1.754997,2.601008,0.008999
0.630754,-0.149295,0.240175,1.754934,2.600880,0.009139
0.630763,-0.149290,0.240213,1.754867,2.600849,0.009158
0.630758,-0.149299,0.240183,1.754929,2.600871,0.009082
0.630749,-0.149310,0.240193,1.754992,2.600831,0.009014
0.630755,-0.149322,0.240213,1.754989,2.600795,0.009111
0.630757,-0.149305,0.240209,1.754941,2.600790,0.009033
0.630748,-0.149323,0.240213,1.754920,2.600859,0.009075
0.630747,-0.149332,0.240250,1.754974,2.600740,0.009121
0.630758,-0.149324,0.240235,1.754897,2.600792,0.009121
0.630747,-0.149323,0.240257,1.754947,2.600766,0.009137
0.630754,-0.149339,0.240290,1.754904,2.600702,0.009191
0.630751,-0.149332,0.240275,1.754957,2.600715,0.009151
0.630768,-0.149330,0.240307,1.754904,2.600669,0.009263
0.630757,-0.149346,0.240322,1.754899,2.600626,0.009278
0.630760,-0.149349,0.240335,1.754892,2.600584,0.009250
0.630757,-0.149330,0.240300,1.754895,2.600723,0.009222
0.630744,-0.149347,0.240288,1.754983,2.600686,0.009160
0.630757,-0.149313,0.240259,1.754934,2.600780,0.009177
0.630757,-0.149323,0.240218,1.754968,2.600828,0.009074
0.630738,-0.149334,0.240134,1.755063,2.600971,0.008969
0.630740,-0.149336,0.240056,1.755133,2.601040,0.008852
0.630747,-0.149328,0.240009,1.755145,2.601090,0.008805
0.630724,-0.149329,0.240014,1.755209,2.601086,0.008749
0.630739,-0.149345,0.240021,1.755173,2.601030,0.008794
0.630734,-0.149321,0.239997,1.755125,2.601129,0.008760
0.630739,-0.149322,0.240005,1.755168,2.601090,0.008770
0.630719,-0.149317,0.239968,1.755182,2.601213,0.008727
0.630731,-0.149327,0.239961,1.755194,2.601197,0.008711
0.630728,-0.149318,0.239961,1.755187,2.601186,0.008746
0.630728,-0.149296,0.239929,1.755198,2.601268,0.008651
0.630741,-0.149280,0.239941,1.755115,2.601284,0.008706
0.630729,-0.149302,0.239931,1.755173,2.601268,0.008687
0.630723,-0.149320,0.239955,1.755207,2.601181,0.008695
0.630723,-0.149311,0.239909,1.755209,2.601286,0.008629
0.630729,-0.149294,0.239912,1.755206,2.601315,0.008652
0.630732,-0.149302,0.239917,1.755261,2.601229,0.008692
0.630722,-0.149293,0.239903,1.755228,2.601313,0.008641
0.630720,-0.149294,0.239888,1.755208,2.601318,0.008626
0.630728,-0.149270,0.239859,1.755177,2.601440,0.008587
0.630720,-0.149295,0.239856,1.755259,2.601393,0.008536
0.630716,-0.149292,0.239849,1.755245,2.601407,0.008576
