actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.628867,-0.148212,0.245949,1.754904,2.600783,0.009294
0.628866,-0.148208,0.245945,1.754831,2.600810,0.009245
0.628873,-0.148207,0.245954,1.754848,2.600766,0.009295
0.628870,-0.148199,0.245939,1.754835,2.600815,0.009262
0.628859,-0.148219,0.245946,1.754873,2.600770,0.009188
0.628851,-0.148225,0.245955,1.754876,2.600775,0.009204
0.628867,-0.148232,0.245990,1.754886,2.600691,0.009290
0.628861,-0.148223,0.245962,1.754893,2.600766,0.009246
0.628858,-0.148230,0.245995,1.754812,2.600747,0.009307
0.628867,-0.148217,0.245976,1.754857,2.600747,0.009261
0.628858,-0.148232,0.245959,1.754915,2.600733,0.009240
0.628857,-0.148215,0.245961,1.754856,2.600780,0.009256
0.628867,-0.148224,0.245978,1.754891,2.600699,0.009281
0.628865,-0.148202,0.246014,1.754812,2.600715,0.009311
0.628865,-0.148193,0.245974,1.754815,2.600784,0.009276
0.628843,-0.148224,0.245953,1.754896,2.600770,0.009220
0.628860,-0.148198,0.245969,1.754781,2.600834,0.009297
0.628865,-0.148209,0.245989,1.754792,2.600753,0.009291
0.628857,-0.148213,0.245970,1.754898,2.600744,0.009307
0.628853,-0.148214,0.245992,1.754821,2.600763,0.009311
0.628854,-0.148216,0.245979,1.754854,2.600812,0.009208
0.628845,-0.148224,0.245980,1.754893,2.600835,0.009167
0.628828,-0.148238,0.245965,1.754933,2.600928,0.009089
0.628814,-0.148215,0.245989,1.754989,2.600941,0.009024
0.628823,-0.148216,0.245972,1.755028,2.601033,0.008925
0.628818,-0.148205,0.246126,1.754950,2.600985,0.009073
0.628821,-0.148198,0.246266,1.754942,2.600905,0.009119
0.628821,-0.148215,0.246361,1.754900,2.600877,0.009142
0.628813,-0.148222,0.246596,1.754885,2.600751,0.009252
0.628812,-0.148230,0.246698,1.754862,2.600753,0.009261
0.628820,-0.148215,0.246976,1.754813,2.600678,0.009346
0.628797,-0.148221,0.247212,1.754909,2.600853,0.009164
0.628787,-0.148220,0.247374,1.754984,2.600893,0.009107
0.628760,-0.148205,0.247525,1.754991,2.601005,0.009007
0.628763,-0.148208,0.247870,1.755024,2.601018,0.009060
0.628789,-0.148215,0.248261,1.755012,2.600899,0.009048
0.628804,-0.148202,0.248492,1.754888,2.600915,0.009078
0.628786,-0.148217,0.248949,1.755033,2.601058,0.008867
0.628794,-0.148227,0.249501,1.755034,2.601022,0.008865
0.628816,-0.148220,0.249768,1.754994,2.600961,0.008934
0.628832,-0.148219,0.250385,1.755010,2.600945,0.008971
0.628829,-0.148222,0.251051,1.755004,2.601000,0.009005
0.628848,-0.148219,0.251406,1.754942,2.600908,0.009043
0.628842,-0.148227,0.252174,1.754990,2.600906,0.009025
0.628829,-0.148225,0.252922,1.754950,2.600942,0.009049
0.628812,-0.148229,0.253305,1.755048,2.600918,0.009074
0.628809,-0.148208,0.254067,1.755076,2.601022,0.008934
0.628796,-0.148221,0.254473,1.755080,2.601060,0.008937
0.628810,-0.148216,0.255354,1.755081,2.601120,0.008847
0.628818,-0.148218,0.255816,1.755019,2.601026,0.008931
0.628842,-0.148208,0.256773,1.755009,2.600972,0.009053
0.628833,-0.148226,0.257272,1.754962,2.600931,0.009059
0.628822,-0.148203,0.258280,1.754925,2.600971,0.009050
0.628816,-0.148184,0.258755,1.754954,2.601012,0.009058
0.628794,-0.148190,0.259779,1.755019,2.601100,0.008974
0.628790,-0.148207,0.260278,1.755013,2.601122,0.008926
0.628788,-0.148220,0.261331,1.755149,2.601179,0.008716
0.628807,-0.148210,0.261943,1.755038,2.601046,0.008945
0.628810,-0.148217,0.263077,1.755009,2.600962,0.009054
0.628781,-0.148226,0.264193,1.755024,2.601043,0.008936
0.628787,-0.148211,0.264805,1.754938,2.601012,0.009020
0.628810,-0.148203,0.265983,1.754969,2.600917,0.009106
0.628824,-0.148198,0.266587,1.754872,2.600867,0.009168
0.628816,-0.148214,0.267772,1.754939,2.600858,0.009115
0.628801,-0.148219,0.268998,1.754852,2.600789,0.009132
0.628789,-0.148231,0.269574,1.754926,2.600757,0.009174
0.628790,-0.148242,0.270844,1.754903,2.600648,0.009211
0.628794,-0.148250,0.271447,1.754818,2.600618,0.009294
0.628798,-0.148235,0.272625,1.754850,2.600691,0.009217
0.628779,-0.148231,0.273238,1.754894,2.600718,0.009248
0.628763,-0.148222,0.274471,1.754667,2.600847,0.009154
0.628756,-0.148226,0.275118,1.754745,2.600849,0.009165
0.628774,-0.148231,0.277007,1.754688,2.600814,0.009304
0.628770,-0.148247,0.277623,1.754819,2.600732,0.009287
0.628781,-0.148222,0.278230,1.754710,2.600835,0.009318
0.628764,-0.148227,0.279427,1.754789,2.600873,0.009153
0.628752,-0.148231,0.280688,1.754862,2.600836,0.009208
0.628756,-0.148232,0.281348,1.754779,2.600875,0.009210
0.628746,-0.148247,0.282653,1.754902,2.600809,0.009217
0.628776,-0.148229,0.283326,1.754780,2.600724,0.009277
0.628756,-0.148255,0.284610,1.754875,2.600719,0.009183
0.628743,-0.148241,0.285250,1.754931,2.600895,0.009127
0.628760,-0.148246,0.286610,1.754947,2.600871,0.009068
0.628777,-0.148237,0.287342,1.754921,2.600827,0.009152
0.628743,-0.148245,0.288800,1.754987,2.600844,0.009096
0.628763,-0.148235,0.290226,1.754961,2.600889,0.009136
0.628800,-0.148246,0.291766,1.754920,2.600780,0.009222
0.628815,-0.148240,0.293327,1.754840,2.600717,0.009313
0.628820,-0.148254,0.294941,1.754863,2.600598,0.009439
0.628824,-0.148231,0.296507,1.754802,2.600661,0.009460
0.628838,-0.148220,0.298035,1.754861,2.600728,0.009454
0.628815,-0.148208,0.299617,1.754905,2.600809,0.009311
0.628789,-0.148210,0.301279,1.754945,2.600849,0.009226
0.628749,-0.148243,0.302951,1.754951,2.600776,0.009234
0.628735,-0.148215,0.304606,1.754968,2.600848,0.009135
0.628732,-0.148225,0.306239,1.754960,2.600814,0.009160
0.628690,-0.148258,0.307905,1.755018,2.600847,0.009047
0.628710,-0.148261,0.309718,1.754961,2.600641,0.009220
0.628695,-0.148250,0.311482,1.754858,2.600636,0.009228
0.628708,-0.148271,0.313309,1.754813,2.600517,0.009411
0.628693,-0.148291,0.315137,1.754868,2.600441,0.009370
0.628650,-0.148287,0.317057,1.754819,2.600380,0.009392
0.628628,-0.148295,0.318958,1.754771,2.600319,0.009480
0.628543,-0.148301,0.320820,1.754835,2.600357,0.009424
0.628464,-0.148317,0.322770,1.754869,2.600347,0.009384
0.628356,-0.148305,0.324745,1.754907,2.600379,0.009256
0.628234,-0.148321,0.326810,1.754949,2.600382,0.009327
0.628052,-0.148332,0.328920,1.755019,2.600462,0.009233
0.627866,-0.148317,0.331124,1.755037,2.600632,0.009176
0.627663,-0.148335,0.333371,1.755002,2.600551,0.009270
0.627394,-0.148343,0.335735,1.754934,2.600621,0.009298
0.627104,-0.148397,0.338136,1.754999,2.600557,0.009340
0.626746,-0.148472,0.340582,1.755083,2.600615,0.009269
0.626325,-0.148533,0.343084,1.755094,2.600771,0.009091
0.625874,-0.148649,0.345595,1.755278,2.600908,0.008921
0.625425,-0.148752,0.348246,1.755164,2.600879,0.009006
0.624930,-0.148916,0.350964,1.755209,2.600715,0.009092
0.624348,-0.149087,0.353772,1.755188,2.600683,0.009060
0.623687,-0.149302,0.356642,1.755262,2.600896,0.008903
0.623001,-0.149539,0.359517,1.755143,2.601027,0.008899
0.622305,-0.149865,0.362538,1.754843,2.600944,0.009057
0.621523,-0.150271,0.365604,1.754876,2.600812,0.009182
0.620612,-0.150775,0.368740,1.755253,2.600625,0.009045
0.620136,-0.150998,0.370292,1.755412,2.600711,0.008947
0.619195,-0.151413,0.373383,1.755530,2.601032,0.008738
0.617766,-0.152189,0.378186,1.755143,2.601119,0.008789
0.616667,-0.152780,0.381548,1.755210,2.601081,0.008699
0.616066,-0.153105,0.383232,1.755381,2.601044,0.008603
0.614842,-0.153739,0.386631,1.755613,2.601201,0.008395
0.613593,-0.154433,0.390069,1.755481,2.601262,0.008397
0.612296,-0.155154,0.393605,1.755543,2.601071,0.008429
0.610867,-0.155898,0.397243,1.755462,2.601106,0.008487
0.609361,-0.156677,0.400929,1.755288,2.601213,0.008470
0.607785,-0.157512,0.404668,1.755402,2.600900,0.008699
0.606128,-0.158374,0.408342,1.755319,2.601089,0.008632
0.604382,-0.159185,0.411921,1.755600,2.601550,0.008397
0.602604,-0.160061,0.415519,1.755426,2.602013,0.008068
0.600715,-0.161051,0.419341,1.755356,2.601722,0.008286
0.598637,-0.162196,0.423357,1.755365,2.601180,0.008564
0.596432,-0.163320,0.427302,1.755721,2.601124,0.008411
0.594214,-0.164361,0.431138,1.755499,2.601592,0.008395
0.591909,-0.165435,0.435001,1.755450,2.601769,0.008485
0.589437,-0.166682,0.438992,1.755470,2.601595,0.008507
0.586843,-0.167969,0.442998,1.755292,2.601688,0.008424
0.584233,-0.169223,0.446962,1.755141,2.601680,0.008692
0.581596,-0.170496,0.450901,1.754885,2.601553,0.008836
0.578832,-0.171902,0.454760,1.754806,2.601559,0.008810
0.575972,-0.173382,0.458610,1.755054,2.601458,0.008675
0.573064,-0.174882,0.462389,1.754975,2.601335,0.008768
0.570171,-0.176300,0.466085,1.754946,2.601280,0.008960
0.568732,-0.177035,0.467906,1.754937,2.601304,0.008924
0.564286,-0.179280,0.473192,1.755069,2.601501,0.008677
0.562836,-0.180063,0.474919,1.755098,2.601362,0.008808
0.559992,-0.181608,0.478233,1.755008,2.601243,0.008818
0.557096,-0.183167,0.481491,1.755031,2.601246,0.008792
0.554191,-0.184672,0.484611,1.755171,2.601478,0.008697
0.551253,-0.186177,0.487703,1.755255,2.601608,0.008616
0.548381,-0.187720,0.490761,1.755165,2.601305,0.008774
0.545554,-0.189250,0.493669,1.755068,2.601161,0.008891
0.545554,-0.189250,0.493669,1.755068,2.601161,0.008891
0.539927,-0.192151,0.499184,1.755011,2.601374,0.008775
0.537155,-0.193570,0.501788,1.755121,2.601463,0.008638
0.534447,-0.195016,0.504310,1.755025,2.601317,0.008756
0.531779,-0.196442,0.506804,1.754936,2.601008,0.008937
0.529082,-0.197819,0.509165,1.754927,2.600990,0.008952
0.526434,-0.199169,0.511458,1.754949,2.601045,0.008985
0.523830,-0.200496,0.513636,1.755039,2.601057,0.008832
