actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.163406,-0.383679,0.439732,1.754759,2.601169,0.009009
0.162770,-0.383189,0.438921,1.754737,2.601058,0.008908
0.162127,-0.382680,0.438143,1.754687,2.601038,0.008948
0.161455,-0.382166,0.437345,1.754828,2.600867,0.008901
0.160823,-0.381660,0.436528,1.754895,2.600888,0.008904
0.160159,-0.381143,0.435674,1.755042,2.600763,0.008914
0.159521,-0.380630,0.434827,1.755122,2.600840,0.008920
0.158841,-0.380090,0.433972,1.755143,2.600830,0.008959
0.158184,-0.379568,0.433123,1.755175,2.600942,0.008965
0.157871,-0.379298,0.432664,1.755123,2.601112,0.009050
0.157241,-0.378786,0.431860,1.754937,2.601032,0.009000
0.156568,-0.378254,0.431022,1.754958,2.601080,0.009039
0.155937,-0.377750,0.430191,1.754827,2.601073,0.008910
0.155246,-0.377210,0.429301,1.755132,2.601070,0.009057
0.154584,-0.376677,0.428453,1.755019,2.600905,0.008935
0.153866,-0.376129,0.427552,1.755120,2.600913,0.008922
0.153203,-0.375578,0.426645,1.755079,2.600950,0.008983
0.152496,-0.375009,0.425685,1.755068,2.601062,0.009078
0.151812,-0.374467,0.424763,1.754967,2.601274,0.009030
0.151103,-0.373921,0.423905,1.754892,2.601085,0.009025
0.150382,-0.373359,0.422998,1.754982,2.601138,0.009064
0.149699,-0.372802,0.422110,1.754894,2.600998,0.008955
0.149012,-0.372239,0.421254,1.754911,2.600847,0.008946
0.148309,-0.371673,0.420284,1.754973,2.600833,0.008976
0.147597,-0.371094,0.419300,1.755206,2.600967,0.009039
0.146874,-0.370523,0.418374,1.755233,2.600870,0.009011
0.146174,-0.369946,0.417411,1.755139,2.601067,0.009058
0.145487,-0.369402,0.416479,1.755052,2.601162,0.009071
0.144780,-0.368823,0.415576,1.754960,2.601146,0.009082
0.144123,-0.368292,0.414704,1.754805,2.600971,0.008906
0.143431,-0.367733,0.413774,1.754961,2.600892,0.008916
0.142711,-0.367152,0.412803,1.755090,2.600975,0.008995
0.141989,-0.366589,0.411848,1.755065,2.600836,0.008921
0.141289,-0.366012,0.410913,1.754896,2.600855,0.008947
0.140560,-0.365416,0.409880,1.754899,2.601053,0.008960
0.139836,-0.364824,0.408877,1.754893,2.601263,0.009073
0.139133,-0.364271,0.407976,1.754764,2.600993,0.008946
0.138399,-0.363702,0.407039,1.754828,2.600938,0.008942
0.137664,-0.363119,0.406056,1.755019,2.600915,0.008941
0.136958,-0.362539,0.405073,1.755040,2.600842,0.008999
0.136225,-0.361956,0.404111,1.755136,2.600744,0.008949
0.135514,-0.361370,0.403090,1.755051,2.600920,0.008972
0.134792,-0.360775,0.402068,1.754928,2.601198,0.009043
0.134035,-0.360183,0.401071,1.754911,2.601189,0.009056
0.133302,-0.359629,0.400080,1.755086,2.601098,0.009087
