actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.390405,-0.195914,0.507171,-2.360293,2.045899,0.047631
0.387816,-0.199684,0.509659,-2.373195,2.033434,0.052507
0.385177,-0.203566,0.512093,-2.384750,2.021707,0.056769
0.382466,-0.207542,0.514324,-2.395270,2.010572,0.060971
0.379633,-0.211589,0.516356,-2.404894,2.000570,0.065132
0.376644,-0.215758,0.518206,-2.412956,1.992271,0.069518
0.373523,-0.220065,0.519878,-2.419470,1.985396,0.073819
0.370343,-0.224381,0.521396,-2.424671,1.980264,0.078125
0.367033,-0.228828,0.522692,-2.428664,1.976412,0.082254
0.363656,-0.233390,0.523913,-2.430851,1.973984,0.085490
0.360292,-0.237983,0.525003,-2.432577,1.971938,0.087615
0.356825,-0.242762,0.525998,-2.432727,1.971447,0.088427
0.353276,-0.247606,0.526888,-2.432038,1.971751,0.088333
0.349756,-0.252507,0.527779,-2.429937,1.972793,0.086306
0.346144,-0.257495,0.528488,-2.427150,1.974138,0.083282
0.342321,-0.262474,0.528961,-2.424013,1.976197,0.080691
0.338302,-0.267459,0.529256,-2.420462,1.979253,0.078652
0.334164,-0.272401,0.529559,-2.416817,1.982775,0.076444
0.329884,-0.277404,0.529850,-2.413114,1.987454,0.073750
0.325627,-0.282383,0.530204,-2.410439,1.992474,0.069748
0.321297,-0.287354,0.530505,-2.408371,1.997502,0.065628
0.316899,-0.292106,0.530742,-2.407042,2.003104,0.063125
0.312310,-0.296914,0.530918,-2.406133,2.010102,0.060827
0.307581,-0.301721,0.531179,-2.405737,2.018061,0.057813
0.302721,-0.306474,0.531525,2.398716,-2.020833,-0.054111
0.297888,-0.311012,0.531878,2.389998,-2.021391,-0.050588
0.292952,-0.315406,0.532332,2.381092,-2.021543,-0.046778
0.287941,-0.319667,0.532929,2.371247,-2.021985,-0.042486
0.282837,-0.323796,0.533622,2.360339,-2.022839,-0.037917
0.277538,-0.327853,0.534402,2.348153,-2.023805,-0.033159
0.272217,-0.331683,0.535298,2.335281,-2.024730,-0.028236
0.266766,-0.335393,0.536255,2.321032,-2.027236,-0.023516
0.261192,-0.338959,0.537260,2.305072,-2.031456,-0.019085
0.255416,-0.342373,0.538415,2.287834,-2.037261,-0.014244
0.249534,-0.345688,0.539607,2.268977,-2.045853,-0.009102
0.243665,-0.348745,0.540834,2.250432,-2.055592,-0.004103
0.237677,-0.351719,0.541997,2.232090,-2.066252,0.000293
0.231579,-0.354510,0.543072,2.214164,-2.077643,0.003693
0.225381,-0.357148,0.544139,2.196707,-2.089898,0.006397
0.219043,-0.359520,0.545057,2.180161,-2.103212,0.006915
0.212812,-0.361579,0.545844,2.165099,-2.117815,0.005553
0.206382,-0.363435,0.546384,2.150291,-2.133504,0.000914
0.199882,-0.365143,0.546654,2.135543,-2.149199,-0.006740
0.193161,-0.366795,0.546737,2.120001,-2.164279,-0.017015
0.186458,-0.368338,0.546636,2.104333,-2.178917,-0.029368
0.179666,-0.369764,0.546353,2.088459,-2.193461,-0.043772
0.173070,-0.371104,0.545727,2.072876,-2.207442,-0.060228
0.166643,-0.372434,0.544897,2.057442,-2.221100,-0.077794
0.160412,-0.373783,0.543848,2.042044,-2.234620,-0.096028
0.154403,-0.375210,0.542789,2.026835,-2.247981,-0.113247
0.148665,-0.376668,0.541709,2.012391,-2.260690,-0.128731
0.143250,-0.378147,0.540636,1.999309,-2.272164,-0.142429
0.138008,-0.379636,0.539473,1.986192,-2.283718,-0.154531
0.132972,-0.381111,0.538180,1.972737,-2.295440,-0.165191
0.127928,-0.382574,0.536845,1.959742,-2.306779,-0.174340
0.122929,-0.384035,0.535562,1.947858,-2.317501,-0.181392
0.118017,-0.385497,0.534164,1.936556,-2.327778,-0.186590
0.113060,-0.386888,0.532583,1.925642,-2.337780,-0.192399
0.108061,-0.388118,0.530661,1.916595,-2.346092,-0.199941
0.102988,-0.389305,0.528499,1.908430,-2.353710,-0.208252
0.097904,-0.390415,0.526184,1.902176,-2.360037,-0.217070
0.092817,-0.391456,0.523752,1.898001,-2.364931,-0.226036
0.087767,-0.392370,0.521187,1.897086,-2.367671,-0.235684
0.082746,-0.393182,0.518403,1.899027,-2.368244,-0.246297
0.077697,-0.393900,0.515494,1.903559,-2.367162,-0.257085
0.072788,-0.394616,0.512544,1.911073,-2.364035,-0.266729
0.067905,-0.395326,0.509633,1.920247,-2.359830,-0.275503
0.063027,-0.396095,0.506640,1.931017,-2.354698,-0.283154
0.058252,-0.396829,0.503690,1.943360,-2.348258,-0.289140
0.053472,-0.397633,0.500644,1.955962,-2.341735,-0.293500
0.048648,-0.398510,0.497578,1.968384,-2.335313,-0.296142
0.043839,-0.399456,0.494590,1.980213,-2.329177,-0.296529
0.038944,-0.400484,0.491603,1.990761,-2.323905,-0.294656
0.034069,-0.401589,0.488592,2.000320,-2.318995,-0.290354
0.029119,-0.402820,0.485690,2.008149,-2.315097,-0.283618
0.024104,-0.404120,0.482959,2.013934,-2.312245,-0.274093
0.019036,-0.405464,0.480236,2.018173,-2.310022,-0.262850
0.013941,-0.406802,0.477537,2.020796,-2.308655,-0.250200
0.008820,-0.408125,0.474858,2.022268,-2.307469,-0.236748
0.003608,-0.409365,0.472250,2.022456,-2.306904,-0.222578
-0.001519,-0.410504,0.469547,2.022254,-2.306307,-0.208332
-0.006626,-0.411543,0.466862,2.021636,-2.305665,-0.194132
-0.011573,-0.412455,0.464149,2.021759,-2.303739,-0.180673
-0.016437,-0.413189,0.461273,2.022414,-2.301236,-0.168455
-0.021256,-0.413681,0.458275,2.024210,-2.297975,-0.158374
-0.025973,-0.413945,0.455178,2.026756,-2.294435,-0.150340
-0.030673,-0.413941,0.451826,2.030659,-2.290458,-0.145040
-0.035181,-0.413729,0.448278,2.036137,-2.285745,-0.141467
-0.039559,-0.413342,0.444714,2.043295,-2.280086,-0.139473
-0.043783,-0.412778,0.440946,2.051918,-2.273688,-0.138965
-0.047759,-0.412107,0.437140,2.062229,-2.266877,-0.138347
-0.051610,-0.411344,0.433278,2.073384,-2.260646,-0.137886
-0.055557,-0.410461,0.429205,2.084563,-2.254603,-0.138819
-0.059524,-0.409457,0.424968,2.095275,-2.248929,-0.140763
-0.063443,-0.408417,0.420625,2.105969,-2.243259,-0.143965
-0.067358,-0.407273,0.416165,2.116578,-2.238742,-0.147379
-0.071152,-0.406147,0.411642,2.126823,-2.234921,-0.150683
-0.074780,-0.405074,0.407100,2.136704,-2.232099,-0.153358
-0.078346,-0.403997,0.402447,2.145976,-2.230319,-0.156156
-0.081883,-0.402928,0.397734,2.154618,-2.229412,-0.158742
-0.085241,-0.401951,0.393141,2.162694,-2.229039,-0.160255
-0.088420,-0.401110,0.388623,2.170373,-2.229652,-0.160001
-0.091512,-0.400339,0.384056,2.177474,-2.231240,-0.158320
-0.094524,-0.399729,0.379555,2.183517,-2.233372,-0.155356
-0.097486,-0.399283,0.374987,2.188797,-2.235663,-0.152119
-0.100511,-0.399031,0.370440,2.193033,-2.237823,-0.148182
-0.103548,-0.399051,0.365991,2.195839,-2.239874,-0.142724
-0.106525,-0.399298,0.361610,-2.197433,2.240400,0.135874
-0.109579,-0.399860,0.357390,-2.198054,2.239357,0.128198
-0.112586,-0.400575,0.353136,-2.199595,2.238005,0.120245
-0.115551,-0.401493,0.348780,-2.202077,2.236123,0.112647
-0.118459,-0.402583,0.344340,-2.206176,2.233525,0.105124
-0.121333,-0.403892,0.340086,2.210495,-2.229016,-0.096564
-0.124085,-0.405413,0.335984,2.215409,-2.222152,-0.087133
-0.126706,-0.407175,0.331996,2.221227,-2.213633,-0.077646
-0.129169,-0.409066,0.328126,2.228099,-2.203775,-0.068856
-0.131700,-0.411031,0.324162,2.235270,-2.192951,-0.062675
-0.134220,-0.413067,0.320274,2.242158,-2.181883,-0.057858
-0.136662,-0.415095,0.316355,2.249839,-2.171076,-0.054446
-0.139043,-0.417069,0.312470,2.258005,-2.160840,-0.052453
-0.141276,-0.419015,0.308521,2.266832,-2.151140,-0.052022
-0.143399,-0.420919,0.304576,2.275819,-2.142455,-0.052971
-0.145477,-0.422904,0.300780,2.283993,-2.134990,-0.054669
-0.147501,-0.424824,0.296967,2.291490,-2.128784,-0.057023
-0.148463,-0.425726,0.295050,2.295138,-2.126266,-0.058197
-0.150258,-0.427392,0.291053,2.302480,-2.122208,-0.060921
-0.151798,-0.428955,0.287020,2.310458,-2.118512,-0.064228
-0.153047,-0.430408,0.283003,2.318894,-2.115659,-0.067982
-0.153866,-0.431747,0.278933,-2.321984,2.108830,0.071570
-0.154380,-0.432942,0.274741,-2.319828,2.099976,0.075655
-0.154790,-0.433928,0.270399,-2.314785,2.092079,0.080808
-0.155179,-0.434724,0.266015,-2.306722,2.086257,0.087727
-0.155491,-0.435456,0.261589,-2.297570,2.081832,0.095146
-0.155714,-0.436259,0.257301,-2.289757,2.076655,0.101265
-0.155943,-0.437029,0.253167,-2.282171,2.071747,0.106711
-0.156295,-0.438058,0.247042,-2.270663,2.064675,0.114588
-0.156464,-0.438334,0.245037,-2.266735,2.062507,0.117235
-0.156776,-0.438878,0.241145,-2.259645,2.058237,0.123441
-0.157116,-0.439375,0.237425,-2.253015,2.054298,0.129549
-0.157509,-0.439799,0.233824,-2.246551,2.050585,0.135524
-0.158017,-0.440163,0.230346,-2.240605,2.047481,0.142323
-0.158582,-0.440494,0.227016,-2.234980,2.044797,0.148959
-0.159085,-0.440838,0.223949,-2.230103,2.042427,0.154561
-0.159573,-0.441354,0.221197,-2.226601,2.041247,0.158212
-0.160068,-0.442005,0.218780,-2.224365,2.041134,0.160060
