actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.582734,-0.057237,0.279565,-0.019632,3.109905,-0.020628
0.582728,-0.057220,0.280379,-0.019666,3.109861,-0.020651
0.582733,-0.057222,0.281177,-0.019664,3.109888,-0.020596
0.582744,-0.057223,0.281937,-0.019606,3.109954,-0.020643
0.582736,-0.057226,0.282353,-0.019659,3.109922,-0.020663
0.582731,-0.057214,0.283138,-0.019731,3.109957,-0.020685
0.582714,-0.057231,0.283954,-0.019633,3.109919,-0.020691
0.582733,-0.057250,0.284762,-0.019649,3.109939,-0.020711
0.582736,-0.057235,0.285580,-0.019643,3.109847,-0.020665
0.582745,-0.057227,0.286350,-0.019662,3.109972,-0.020590
0.582720,-0.057228,0.287107,-0.019641,3.110043,-0.020566
0.582710,-0.057235,0.287900,-0.019601,3.110025,-0.020539
0.582714,-0.057230,0.288729,-0.019653,3.110000,-0.020568
0.582706,-0.057260,0.289543,-0.019536,3.109951,-0.020572
0.582728,-0.057244,0.290375,-0.019586,3.109886,-0.020573
0.582721,-0.057239,0.291164,-0.019658,3.109893,-0.020570
0.582705,-0.057236,0.291903,-0.019695,3.110110,-0.020649
0.582699,-0.057252,0.292661,-0.019636,3.110128,-0.020666
0.582717,-0.057235,0.293478,-0.019650,3.110051,-0.020626
0.582732,-0.057252,0.294323,-0.019666,3.109982,-0.020590
0.582719,-0.057257,0.295162,-0.019751,3.109862,-0.020618
0.582724,-0.057225,0.295984,-0.019801,3.109839,-0.020663
0.582691,-0.057250,0.296728,-0.019745,3.109953,-0.020567
0.582709,-0.057234,0.297504,-0.019743,3.110117,-0.020596
0.582711,-0.057254,0.297904,-0.019684,3.110027,-0.020567
0.582744,-0.057216,0.298737,-0.019791,3.109953,-0.020565
0.582731,-0.057251,0.299561,-0.019634,3.109879,-0.020527
0.582722,-0.057243,0.300385,-0.019687,3.109920,-0.020606
0.582710,-0.057235,0.301180,-0.019622,3.109899,-0.020539
0.582709,-0.057256,0.301990,-0.019528,3.109830,-0.020538
0.582717,-0.057240,0.302770,-0.019584,3.109993,-0.020548
0.582728,-0.057255,0.303429,-0.019556,3.109682,-0.020513
0.582761,-0.057274,0.303731,-0.019491,3.109349,-0.020486
0.582727,-0.057250,0.303599,-0.019555,3.109750,-0.020549
0.582719,-0.057230,0.303386,-0.019621,3.110260,-0.020654
0.582715,-0.057260,0.303382,-0.019528,3.110227,-0.020685
0.582738,-0.057262,0.303518,-0.019558,3.109919,-0.020585
0.582716,-0.057267,0.303435,-0.019506,3.110120,-0.020664
0.582723,-0.057242,0.303395,-0.019639,3.110196,-0.020623
0.582724,-0.057254,0.303438,-0.019563,3.110116,-0.020588
0.582724,-0.057263,0.303475,-0.019579,3.110017,-0.020587
0.582726,-0.057249,0.303457,-0.019617,3.110042,-0.020591
0.582728,-0.057252,0.303383,-0.019600,3.110202,-0.020681
0.582727,-0.057264,0.303439,-0.019543,3.110065,-0.020614
0.582719,-0.057256,0.303454,-0.019562,3.110041,-0.020591
0.582730,-0.057255,0.303452,-0.019543,3.110031,-0.020588
0.582717,-0.057239,0.303442,-0.019656,3.110105,-0.020548
0.582730,-0.057247,0.303452,-0.019598,3.110032,-0.020570
0.582730,-0.057251,0.303453,-0.019616,3.110026,-0.020626
0.582722,-0.057236,0.303446,-0.019654,3.110065,-0.020595
0.582716,-0.057257,0.303421,-0.019526,3.110113,-0.020605
0.582717,-0.057255,0.303452,-0.019562,3.110067,-0.020577
0.582721,-0.057265,0.303479,-0.019597,3.109992,-0.020620
0.582712,-0.057257,0.303475,-0.019580,3.110042,-0.020591
0.582715,-0.057269,0.303467,-0.019635,3.110023,-0.020664
0.582709,-0.057247,0.303472,-0.019635,3.110001,-0.020639
0.582705,-0.057245,0.303488,-0.019616,3.110003,-0.020601
0.582710,-0.057247,0.303524,-0.019577,3.109930,-0.020624
0.582702,-0.057246,0.303510,-0.019652,3.109944,-0.020590
0.582713,-0.057253,0.303511,-0.019633,3.109944,-0.020610
0.582711,-0.057254,0.303487,-0.019578,3.109989,-0.020637
0.582706,-0.057247,0.303516,-0.019633,3.109931,-0.020606
0.582704,-0.057265,0.303508,-0.019578,3.109959,-0.020575
0.582713,-0.057264,0.303504,-0.019596,3.109960,-0.020575
0.582714,-0.057259,0.303495,-0.019579,3.109992,-0.020619
0.582704,-0.057268,0.303508,-0.019615,3.109955,-0.020613
0.582707,-0.057254,0.303501,-0.019653,3.109967,-0.020615
0.582724,-0.057236,0.303396,-0.019393,3.110130,-0.020624
0.582724,-0.057229,0.303291,-0.019440,3.110352,-0.020670
0.582724,-0.057235,0.303086,-0.019408,3.110774,-0.020737
0.582728,-0.057251,0.302895,-0.019395,3.111113,-0.020845
0.582729,-0.057236,0.302724,-0.019459,3.111499,-0.020905
0.582747,-0.057220,0.302606,-0.019481,3.111672,-0.020939
0.582752,-0.057226,0.302486,-0.019505,3.111929,-0.020993
0.582750,-0.057228,0.302442,-0.019468,3.111976,-0.021022
0.582750,-0.057234,0.302405,-0.019488,3.112044,-0.021036
0.582750,-0.057241,0.302417,-0.019469,3.112021,-0.021032
0.582762,-0.057219,0.302415,-0.019525,3.112020,-0.021031
0.582745,-0.057234,0.302399,-0.019508,3.112069,-0.021022
0.582754,-0.057226,0.302422,-0.019469,3.112021,-0.021011
0.582744,-0.057239,0.302417,-0.019506,3.112039,-0.021092
0.582758,-0.057235,0.302438,-0.019504,3.111959,-0.021038
0.582751,-0.057248,0.302401,-0.019413,3.112069,-0.021041
0.582746,-0.057236,0.302410,-0.019413,3.112054,-0.021056
0.582746,-0.057221,0.302426,-0.019525,3.112008,-0.021028
0.582761,-0.057226,0.302412,-0.019487,3.112008,-0.021028
0.582743,-0.057240,0.302416,-0.019470,3.112047,-0.020999
0.582747,-0.057230,0.302438,-0.019430,3.111982,-0.021060
0.582759,-0.057228,0.302427,-0.019486,3.111970,-0.021039
0.582752,-0.057251,0.302422,-0.019468,3.112016,-0.021069
0.582759,-0.057235,0.302449,-0.019429,3.111948,-0.021034
0.582745,-0.057241,0.302410,-0.019395,3.112058,-0.021019
0.582747,-0.057242,0.302423,-0.019413,3.112021,-0.021031
0.582759,-0.057235,0.302422,-0.019487,3.112007,-0.021047
0.582749,-0.057221,0.302431,-0.019468,3.111997,-0.021025
0.582747,-0.057222,0.302399,-0.019526,3.112065,-0.021059
0.582748,-0.057234,0.302404,-0.019488,3.112058,-0.021020
0.582744,-0.057242,0.302418,-0.019450,3.112032,-0.021034
0.582748,-0.057232,0.302415,-0.019525,3.112048,-0.021000
0.582742,-0.057234,0.302402,-0.019469,3.112047,-0.021017
0.582737,-0.057236,0.302425,-0.019431,3.112032,-0.021033
0.582761,-0.057236,0.302415,-0.019467,3.112017,-0.021068
0.582743,-0.057238,0.302414,-0.019487,3.112028,-0.021070
0.582750,-0.057224,0.302423,-0.019468,3.112015,-0.021085
0.582752,-0.057212,0.302425,-0.019524,3.111998,-0.021006
0.582754,-0.057242,0.302402,-0.019469,3.112018,-0.021050
0.582750,-0.057231,0.302404,-0.019506,3.112051,-0.021094
0.582732,-0.057247,0.302380,-0.019434,3.112159,-0.021116
0.582725,-0.057259,0.302411,-0.019413,3.112147,-0.021172
0.582708,-0.057276,0.302383,-0.019379,3.112290,-0.021222
0.582663,-0.057293,0.302364,-0.019312,3.112677,-0.021247
0.582569,-0.057271,0.302190,-0.019482,3.113770,-0.021478
0.582435,-0.057295,0.302037,-0.019504,3.114896,-0.021698
0.582366,-0.057330,0.301943,-0.019379,3.115239,-0.021847
0.582346,-0.057336,0.301919,-0.019378,3.115180,-0.021891
0.582370,-0.057304,0.301892,-0.019433,3.115159,-0.021865
