actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5
-12.388196,-2.035338,9.067697,0.032834,0.716129,0.124726
-11.242607,-1.508334,9.550029,0.045936,0.560969,0.093022
-11.120843,-2.307499,10.535396,0.004211,0.459891,0.070834
-9.622001,-1.907368,10.463966,0.021374,0.345493,0.056711
-10.562879,-2.007206,11.933066,0.040736,0.361318,0.041143
-10.100498,-1.235840,12.567796,0.074456,0.258797,0.009009
-7.640465,-0.951393,12.704850,0.098897,0.112153,-0.023707
-8.622756,-1.221952,13.267869,0.104190,0.116286,-0.041513
-8.612946,-0.763948,12.360795,0.130166,0.046011,-0.079316
-8.801878,-0.503048,12.783576,0.133312,0.038630,-0.081825
-8.001297,-0.997549,13.229494,0.127620,0.075279,-0.107156
-6.683331,-0.744813,12.162950,0.148938,0.065445,-0.125271
-11.519497,-0.928834,11.154360,0.152240,0.296552,-0.144020
-10.159092,-0.603903,11.216802,0.162396,0.307699,-0.178979
-9.985595,-0.362770,10.293953,0.178627,0.369563,-0.210915
-8.883740,-0.370150,10.103581,0.191033,0.366059,-0.220046
-10.096900,-0.972050,8.758065,0.197328,0.506546,-0.230453
-11.288020,-0.230797,8.600289,0.204205,0.572880,-0.242755
-11.829578,-1.395505,8.048791,0.177600,0.650719,-0.238092
-10.783083,-1.158959,7.865806,0.179985,0.688583,-0.223906
-12.418615,-1.214904,6.928305,0.161316,0.834723,-0.223298
-12.829971,-1.405765,5.382430,0.165540,1.037452,-0.239755
-11.969354,-2.185518,6.502296,0.126560,1.077379,-0.271131
-11.300110,-2.391518,5.430047,0.123304,1.130842,-0.266247
-14.421225,-2.813107,4.410725,0.117457,1.329036,-0.245755
-12.376418,-2.704345,5.485710,0.093227,1.310696,-0.245408
-9.450764,-2.336493,4.522705,0.103309,1.168660,-0.248469
-9.747598,-2.989645,5.326587,0.076810,1.142304,-0.254688
