actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5
0.632225,-0.036556,0.174555,-0.019570,3.112182,-0.020592
0.632238,-0.036557,0.174562,-0.019513,3.112153,-0.020641
0.632239,-0.036569,0.174579,-0.019493,3.112111,-0.020575
0.632240,-0.036545,0.174572,-0.019549,3.112125,-0.020558
0.632249,-0.036548,0.174582,-0.019530,3.112092,-0.020626
0.632235,-0.036562,0.174560,-0.019569,3.112146,-0.020584
0.632234,-0.036547,0.174550,-0.019589,3.112181,-0.020592
0.632240,-0.036543,0.174571,-0.019586,3.112126,-0.020653
0.632248,-0.036544,0.174581,-0.019549,3.112136,-0.020561
0.632245,-0.036554,0.174571,-0.019530,3.112143,-0.020601
0.632248,-0.036546,0.174595,-0.019567,3.112084,-0.020587
0.632238,-0.036547,0.174562,-0.019532,3.112156,-0.020604
0.632241,-0.036568,0.174574,-0.019476,3.112136,-0.020581
0.632243,-0.036563,0.174591,-0.019549,3.112084,-0.020606
0.632244,-0.036564,0.174577,-0.019511,3.112140,-0.020638
0.632252,-0.036568,0.174587,-0.019493,3.112109,-0.020593
0.632244,-0.036569,0.174578,-0.019549,3.112098,-0.020591
0.632247,-0.036556,0.174564,-0.019512,3.112140,-0.020638
0.632232,-0.036555,0.174563,-0.019550,3.112145,-0.020583
0.632237,-0.036563,0.174562,-0.019551,3.112157,-0.020605
0.632235,-0.036560,0.174567,-0.019551,3.112136,-0.020562
0.632243,-0.036568,0.174584,-0.019457,3.112100,-0.020572
0.632234,-0.036547,0.174565,-0.019514,3.112158,-0.020585
0.632241,-0.036547,0.174573,-0.019548,3.112109,-0.020592
0.632236,-0.036565,0.174567,-0.019476,3.112129,-0.020635
0.632247,-0.036577,0.174582,-0.019512,3.112095,-0.020609
0.632244,-0.036545,0.174576,-0.019492,3.112111,-0.020573
0.632248,-0.036553,0.174589,-0.019529,3.112085,-0.020587
0.632246,-0.036551,0.174586,-0.019456,3.112113,-0.020554
0.632236,-0.036545,0.174560,-0.019514,3.112148,-0.020563
0.632250,-0.036574,0.174600,-0.019512,3.112076,-0.020567
0.632243,-0.036548,0.174575,-0.019513,3.112119,-0.020613
0.632236,-0.036564,0.174575,-0.019550,3.112119,-0.020615
0.632239,-0.036562,0.174572,-0.019531,3.112121,-0.020596
0.632242,-0.036547,0.174581,-0.019513,3.112122,-0.020595
0.632242,-0.036557,0.174574,-0.019530,3.112130,-0.020635
0.632247,-0.036570,0.174580,-0.019531,3.112107,-0.020612
0.632242,-0.036559,0.174560,-0.019569,3.112149,-0.020565
0.632230,-0.036571,0.174547,-0.019494,3.112179,-0.020610
0.632249,-0.036555,0.174552,-0.019513,3.112178,-0.020628
0.632234,-0.036569,0.174573,-0.019493,3.112134,-0.020581
